filename,believability_label
politifact100,3
politifact10185,3
politifact10209,4
politifact10276,3
politifact1053,4
politifact1067,3
politifact10877,3
politifact10945,3
politifact11021,4
politifact11115,3
politifact11580,3
politifact11709,4
politifact11770,3
politifact118,4
politifact1180,3
politifact11989,4
politifact1202,3
politifact12079,4
politifact12120,4
politifact1216,2
politifact12556,3
politifact12721,4
politifact12773,3
politifact1313,3
politifact13136,4
politifact1315,4
politifact13193,4
politifact13229,4
politifact13303,4
politifact13310,3
politifact13352,2
politifact134,4
politifact13467,3
politifact13468,3
politifact13469,3
politifact13475,3
politifact13559,4
politifact13584,3
politifact13589,3
politifact1361,3
politifact13619,5
politifact13687,3
politifact13703,4
politifact13771,4
politifact13773,4
politifact13775,4
politifact13807,3
politifact13815,4
politifact13816,4
politifact13820,4
politifact13827,5
politifact13854,4
politifact13855,3
politifact13887,3
politifact13897,4
politifact13913,4
politifact13924,3
politifact13929,4
politifact13949,4
politifact13955,3
politifact13973,3
politifact14008,3
politifact14043,2
politifact14090,2
politifact14095,3
politifact14112,4
politifact14114,3
politifact14126,2
politifact14135,3
politifact14144,4
politifact14213,4
politifact14238,3
politifact14247,3
politifact14259,3
politifact14265,2
politifact14270,3
politifact14310,4
politifact14311,3
politifact14333,3
politifact14384,4
politifact14472,4
politifact14481,4
politifact14506,3
politifact14556,3
politifact14564,4
politifact14596,3
politifact14644,4
politifact14664,4
politifact14698,4
politifact14742,4
politifact14750,3
politifact14771,3
politifact14777,4
politifact14810,4
politifact14827,4
politifact14839,3
politifact14840,4
politifact14856,4
politifact14859,4
politifact14863,4
politifact14880,4
politifact14888,4
politifact14904,4
politifact14908,4
politifact14920,4
politifact14927,4
politifact14940,4
politifact14984,3
politifact14991,3
politifact150,4
politifact15031,5
politifact15037,4
politifact15097,4
politifact15108,4
politifact15133,4
politifact15135,4
politifact15137,4
politifact15141,5
politifact15147,4
politifact15191,4
politifact15201,4
politifact15210,4
politifact15217,2
politifact15280,4
politifact15287,4
politifact15298,5
politifact15334,4
politifact15342,4
politifact15401,4
politifact15416,3
politifact15427,4
politifact15501,4
politifact15564,4
politifact15604,4
politifact15606,4
politifact15625,4
politifact15631,4
politifact1731,3
politifact181,4
politifact206,4
politifact2139,4
politifact230,3
politifact239,3
politifact245,3
politifact2758,3
politifact285,3
politifact304,3
politifact323,4
politifact329,4
politifact348,3
politifact356,4
politifact3632,4
politifact368,3
politifact384,3
politifact4306,3
politifact537,5
politifact548,3
politifact57,3
politifact627,3
politifact655,4
politifact671,3
politifact6730,3
politifact674,4
politifact6931,3
politifact700,3
politifact7390,3
politifact751,3
politifact7618,3
politifact7668,3
politifact7669,4
politifact772,4
politifact7888,3
politifact8085,3
politifact809,4
politifact810,4
politifact8130,4
politifact8152,4
politifact8221,3
politifact8470,4
politifact8537,3
politifact8846,3
politifact937,4
politifact943,4
politifact9438,4
politifact9512,4
politifact979,3
